latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
36.428391,140.525269,326.93,0.6,0.71,2021-01-01,0230,N,VIIRS,n,1,279.23,1.67,D,0
33.260014,131.650284,333.39,0.38,0.36,2021-01-01,0412,N,VIIRS,n,1,286.5,3.31,D,2
33.263306,131.649567,334.03,0.38,0.36,2021-01-01,0412,N,VIIRS,n,1,282.3,3.31,D,2
34.057064,131.788147,328.78,0.38,0.36,2021-01-01,0412,N,VIIRS,n,1,290.24,3.62,D,3
35.476959,139.717865,333.91,0.53,0.5,2021-01-01,0412,N,VIIRS,n,1,289.46,5.23,D,2
35.574268,140.108505,325.14,0.55,0.51,2021-01-01,0412,N,VIIRS,n,1,285.17,2.11,D,3
40.537727,141.502457,328.03,0.39,0.36,2021-01-01,1630,N,VIIRS,n,1,263.85,8.43,N,3
40.53442,141.501495,328.48,0.39,0.36,2021-01-01,1630,N,VIIRS,n,1,268.26,8.43,N,3
40.533638,141.506088,321.84,0.39,0.36,2021-01-01,1630,N,VIIRS,n,1,264,8.43,N,3
39.072304,141.73291,295.37,0.41,0.37,2021-01-01,1630,N,VIIRS,n,1,270.4,0.86,N,0
36.414909,139.619705,301.59,0.39,0.36,2021-01-01,1630,N,VIIRS,n,1,271.86,0.83,N,2
35.945831,140.665253,299.02,0.41,0.37,2021-01-01,1630,N,VIIRS,n,1,270.25,0.55,N,2
35.940147,140.67775,329.81,0.41,0.37,2021-01-01,1630,N,VIIRS,n,1,277.84,3.86,N,3
35.931873,140.684875,306.45,0.41,0.37,2021-01-01,1630,N,VIIRS,n,1,278.88,1.82,N,3
36.159264,139.312866,303.25,0.39,0.36,2021-01-01,1630,N,VIIRS,n,1,269.95,0.9,N,2
35.928513,140.683975,306.69,0.41,0.37,2021-01-01,1630,N,VIIRS,n,1,277.75,1.29,N,3
35.583302,140.114487,306.61,0.4,0.37,2021-01-01,1630,N,VIIRS,n,1,277.46,1.48,N,3
35.583672,140.091888,296.93,0.4,0.37,2021-01-01,1630,N,VIIRS,n,1,271.96,0.96,N,3
35.581078,140.0867,298.82,0.4,0.37,2021-01-01,1630,N,VIIRS,n,1,273.62,1.08,N,3
35.580341,140.091034,304.88,0.4,0.37,2021-01-01,1630,N,VIIRS,n,1,276.54,1.08,N,3
35.579601,140.095383,309.18,0.4,0.37,2021-01-01,1630,N,VIIRS,n,1,279.21,1.9,N,3
35.574047,140.107559,328.02,0.4,0.37,2021-01-01,1630,N,VIIRS,n,1,272.98,4.47,N,3
35.577747,140.085846,296.79,0.4,0.37,2021-01-01,1630,N,VIIRS,n,1,275.02,1.08,N,3
35.478508,139.720016,332.38,0.39,0.36,2021-01-01,1630,N,VIIRS,n,1,277.9,1.79,N,2
35.477787,139.724304,306.71,0.39,0.36,2021-01-01,1630,N,VIIRS,n,1,277.85,1.79,N,2
35.477066,139.728592,310.85,0.39,0.36,2021-01-01,1630,N,VIIRS,n,1,280.18,0.83,N,3
35.475193,139.719193,308.98,0.39,0.36,2021-01-01,1630,N,VIIRS,n,1,274.8,1.79,N,2
35.474472,139.723465,310.05,0.39,0.36,2021-01-01,1630,N,VIIRS,n,1,275.3,1.79,N,2
35.473747,139.727768,297.84,0.39,0.36,2021-01-01,1630,N,VIIRS,n,1,275.43,0.83,N,3
35.360573,139.876205,320.99,0.4,0.37,2021-01-01,1630,N,VIIRS,n,1,274.87,2.04,N,3
35.362034,139.867584,298.34,0.4,0.37,2021-01-01,1630,N,VIIRS,n,1,274.65,1.26,N,3
35.354656,139.870209,304.35,0.4,0.37,2021-01-01,1630,N,VIIRS,n,1,273.76,1.22,N,3
35.036861,136.875,297.1,0.39,0.37,2021-01-01,1636,N,VIIRS,n,1,275.27,1.02,N,3
35.030861,136.884109,336.32,0.39,0.37,2021-01-01,1636,N,VIIRS,n,1,279.34,4.95,N,2
35.028778,136.874771,320.11,0.39,0.37,2021-01-01,1636,N,VIIRS,n,1,276.71,2.11,N,3
35.028149,136.879074,334.97,0.39,0.37,2021-01-01,1636,N,VIIRS,n,1,276.32,4.41,N,2
35.029408,136.870468,311.59,0.39,0.37,2021-01-01,1636,N,VIIRS,n,1,275.96,2.11,N,3
35.026066,136.869751,326.85,0.39,0.37,2021-01-01,1636,N,VIIRS,n,1,276.85,2.11,N,3
35.023354,136.864731,310.96,0.39,0.37,2021-01-01,1636,N,VIIRS,n,1,276.1,1.33,N,3
34.724411,134.826996,315.91,0.45,0.39,2021-01-01,1636,N,VIIRS,n,1,274.07,2.31,N,3
34.723785,134.831848,299.68,0.45,0.39,2021-01-01,1636,N,VIIRS,n,1,273.89,1.57,N,3
34.235233,135.135193,305.19,0.43,0.38,2021-01-01,1636,N,VIIRS,n,1,275.91,2.12,N,2
33.874668,134.650482,327.73,0.44,0.39,2021-01-01,1636,N,VIIRS,n,1,274.76,5.1,N,3
35.353348,139.870468,334.88,0.46,0.39,2021-01-02,0354,N,VIIRS,n,1,292.1,4.92,D,3
35.475529,139.720947,331.76,0.46,0.39,2021-01-02,0354,N,VIIRS,n,1,292.33,4.86,D,2
35.476269,139.718124,331.08,0.46,0.39,2021-01-02,0354,N,VIIRS,n,1,292.53,5.39,D,3
35.574173,140.106934,326.05,0.48,0.4,2021-01-02,0354,N,VIIRS,n,1,287.99,1.65,D,3
35.579632,140.089859,333.71,0.48,0.4,2021-01-02,0354,N,VIIRS,n,1,289.53,6.89,D,3
40.534733,141.504013,337.64,0.43,0.38,2021-01-02,1612,N,VIIRS,n,1,269.06,5.8,N,3
36.161057,139.313004,299.4,0.47,0.4,2021-01-02,1612,N,VIIRS,n,1,272.78,1.22,N,2
36.162029,139.312149,296.46,0.47,0.4,2021-01-02,1612,N,VIIRS,n,1,271.98,0.81,N,2
35.946682,140.668137,303.61,0.42,0.38,2021-01-02,1612,N,VIIRS,n,1,271.55,0.59,N,2
35.941978,140.676743,324.14,0.42,0.38,2021-01-02,1612,N,VIIRS,n,1,278.18,2.63,N,3
35.933208,140.689285,312.53,0.42,0.38,2021-01-02,1612,N,VIIRS,n,1,275.55,1.62,N,3
35.931637,140.674637,295.66,0.42,0.38,2021-01-02,1612,N,VIIRS,n,1,273.59,0.85,N,2
35.930389,140.683945,318.62,0.42,0.38,2021-01-02,1612,N,VIIRS,n,1,281.17,1.7,N,3
35.929768,140.688599,301.03,0.42,0.38,2021-01-02,1612,N,VIIRS,n,1,274.56,1.7,N,3
35.928192,140.673935,300.57,0.42,0.38,2021-01-02,1612,N,VIIRS,n,1,274.16,0.85,N,2
35.581036,140.091415,317.93,0.44,0.38,2021-01-02,1612,N,VIIRS,n,1,275.6,2.76,N,3
35.57753,140.090714,306.58,0.44,0.38,2021-01-02,1612,N,VIIRS,n,1,276.24,1.99,N,3
35.571522,140.109222,302.02,0.43,0.38,2021-01-02,1612,N,VIIRS,n,1,274.79,1.55,N,3
35.477364,139.719116,315.32,0.45,0.39,2021-01-02,1612,N,VIIRS,n,1,275.86,2.02,N,2
35.368969,139.842316,305.65,0.44,0.39,2021-01-02,1612,N,VIIRS,n,1,277.36,2.74,N,3
35.368343,139.847198,305.03,0.44,0.38,2021-01-02,1612,N,VIIRS,n,1,275.63,1.59,N,3
35.362949,139.86113,295.28,0.44,0.38,2021-01-02,1612,N,VIIRS,n,1,276.48,1.78,N,3
35.361084,139.875687,304.88,0.44,0.38,2021-01-02,1612,N,VIIRS,n,1,278.01,2.62,N,3
35.360657,139.850708,305.06,0.44,0.38,2021-01-02,1612,N,VIIRS,n,1,274.33,2.02,N,3
35.359417,139.860443,312.23,0.44,0.38,2021-01-02,1612,N,VIIRS,n,1,277.6,1.78,N,3
35.358795,139.865295,295.96,0.44,0.38,2021-01-02,1612,N,VIIRS,n,1,276.51,1.77,N,3
35.354649,139.869461,319.92,0.44,0.38,2021-01-02,1612,N,VIIRS,n,1,278.37,2.65,N,3
35.354031,139.874313,314.41,0.44,0.38,2021-01-02,1612,N,VIIRS,n,1,275.76,2.88,N,3
35.352173,139.88887,305.39,0.44,0.38,2021-01-02,1612,N,VIIRS,n,1,272.4,1.71,N,0
35.035355,136.874115,298,0.39,0.44,2021-01-02,1612,N,VIIRS,n,1,276.8,1.61,N,3
35.033955,136.887161,298.19,0.39,0.44,2021-01-02,1612,N,VIIRS,n,1,275.11,1.01,N,2
35.031288,136.873474,321.03,0.39,0.44,2021-01-02,1612,N,VIIRS,n,1,277.37,1.99,N,3
35.030361,136.882172,327.7,0.39,0.44,2021-01-02,1612,N,VIIRS,n,1,277.61,1.52,N,2
35.030827,136.877823,295.18,0.39,0.44,2021-01-02,1612,N,VIIRS,n,1,274.47,1.52,N,2
35.029892,136.886505,311.8,0.39,0.44,2021-01-02,1612,N,VIIRS,n,1,277.01,1.78,N,2
35.027229,136.872818,331.75,0.39,0.44,2021-01-02,1612,N,VIIRS,n,1,278.91,1.99,N,3
35.027695,136.868454,317.38,0.4,0.44,2021-01-02,1612,N,VIIRS,n,1,277.47,1.99,N,3
35.026764,136.877182,295.49,0.39,0.44,2021-01-02,1612,N,VIIRS,n,1,274.07,1.52,N,2
35.023628,136.867828,320.32,0.4,0.44,2021-01-02,1612,N,VIIRS,n,1,275.58,1.67,N,2
