latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
41.52734,1.807925,297.51,0.4,0.44,2021-01-01,0118,N,VIIRS,n,1,273.37,0.56,N,2
40.24482,-3.474051,317.98,0.36,0.58,2021-01-01,0118,N,VIIRS,n,1,271.71,1.3,N,2
37.569389,-0.91679,296.43,0.5,0.49,2021-01-01,0118,N,VIIRS,n,1,279.64,0.77,N,2
41.314079,1.661181,295.98,0.36,0.57,2021-01-02,0100,N,VIIRS,n,1,274.98,0.87,N,2
40.576271,0.541932,297.41,0.4,0.6,2021-01-02,0100,N,VIIRS,n,1,277.4,0.68,N,2
41.926476,0.18122,302.6,0.34,0.56,2021-01-02,0242,N,VIIRS,n,1,269.93,0.55,N,2
41.314976,1.664113,305.94,0.41,0.61,2021-01-02,0242,N,VIIRS,n,1,274.98,1.09,N,0
41.309673,1.661384,296.2,0.41,0.61,2021-01-02,0242,N,VIIRS,n,1,272.34,0.61,N,2
40.843983,0.455617,329.73,0.4,0.44,2021-01-02,1224,N,VIIRS,n,1,281.55,2.73,D,0
41.539436,0.413056,337.42,0.39,0.44,2021-01-02,1224,N,VIIRS,n,1,278.33,6.72,D,0
41.538456,0.408553,335.65,0.39,0.44,2021-01-02,1224,N,VIIRS,n,1,279.57,5.74,D,0
41.641418,0.372801,348.78,0.39,0.44,2021-01-02,1224,N,VIIRS,n,1,279.87,4.19,D,0
43.410412,-3.840548,327.87,0.55,0.51,2021-01-02,1224,N,VIIRS,n,1,281.07,4.03,D,2
41.926594,0.178344,308.78,0.4,0.44,2021-01-03,0218,N,VIIRS,n,1,266.63,1.44,N,2
40.059364,0.112357,300.07,0.44,0.46,2021-01-03,0224,N,VIIRS,n,1,278.08,1.46,N,3
38.320824,-6.718148,309.21,0.39,0.36,2021-01-03,0224,N,VIIRS,n,1,272.93,1.39,N,2
42.199699,-1.267149,334.13,0.38,0.59,2021-01-03,1342,N,VIIRS,n,1,278.72,3.06,D,0
