latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
56.02522,29.98299,326.87,0.39,0.36,2022-01-02,13,N,VIIRS,n,2.0NRT,262.8,1.79,N
59.382369999999995,28.465390000000003,304.33,0.61,0.53,2022-01-14,2328,N,VIIRS,n,2.0NRT,269.26,2.59,N
57.71601,28.123620000000003,299.78,0.4,0.45,2022-01-15,111,N,VIIRS,n,2.0NRT,271.46,0.62,N
59.38516,28.45883,308.41,0.42,0.38,2022-01-18,13,N,VIIRS,n,2.0NRT,267.27,1.91,N
59.38488,28.465320000000002,306.45,0.39,0.59,2022-01-18,151,N,VIIRS,n,2.0NRT,267.41,1.37,N
59.38522,28.46475,311.28,0.39,0.59,2022-01-18,151,N,VIIRS,n,2.0NRT,267.81,0.92,N
54.80845,21.91475,306.82,0.39,0.44,2022-02-10,121,N,VIIRS,n,2.0NRT,274.32,0.53,N
59.386469999999996,28.462529999999997,295.68,0.35,0.57,2022-02-10,2322,N,VIIRS,n,2.0NRT,268.96,1.42,N
59.38551,28.463990000000003,304.13,0.5,0.41,2022-02-11,102,N,VIIRS,n,2.0NRT,270.71,0.9,N
66.32649,31.37087,346.47,0.42,0.61,2022-02-11,2303,N,VIIRS,n,2.0NRT,265.0,6.21,N
66.32496,31.3728,327.88,0.38,0.36,2022-02-12,41,N,VIIRS,n,2.0NRT,250.64,2.97,N
66.32576999999999,31.377029999999998,321.83,0.33,0.56,2022-02-12,221,N,VIIRS,n,2.0NRT,252.09,1.8,N
52.80546999999999,32.22738,304.57,0.49,0.4,2022-02-13,26,N,VIIRS,n,2.0NRT,268.73,1.71,N
52.80365,32.22707,300.89,0.49,0.4,2022-02-13,26,N,VIIRS,n,2.0NRT,266.89,0.92,N
52.91092,32.39048,313.91,0.39,0.36,2022-02-14,7,N,VIIRS,n,2.0NRT,264.2,1.2,N
52.80458,32.22345,306.17,0.39,0.36,2022-02-14,7,N,VIIRS,n,2.0NRT,268.81,1.37,N
52.80676,32.22528,300.91,0.42,0.37,2022-02-14,2350,N,VIIRS,n,2.0NRT,270.74,1.02,N
52.803340000000006,32.224109999999996,299.77,0.42,0.37,2022-02-14,2350,N,VIIRS,n,2.0NRT,265.57,1.02,N
52.80474,32.22306,307.05,0.38,0.44,2022-02-15,2330,N,VIIRS,n,2.0NRT,269.65,1.32,N
59.3869,28.45972,298.87,0.43,0.38,2022-02-19,11,N,VIIRS,n,2.0NRT,268.75,0.75,N
